trial_id	strategy	repeat_id	lora_rank	lora_alpha	learning_rate	batch_size	grad_accum_steps	warmup_ratio	weight_decay	lora_targets	max_steps	val_accuracy	val_closed_acc	val_open_acc	train_loss	train_time_min	peak_vram_mb	status	notes	agent_reasoning	phase	temperature
150	random	6	64	256	1.2e-05	1	4	0.0791	0.0959	full	200	0.382	0.7377	0.043	0.8742239117622376	18.9	4935.1	completed				0.0
151	random	7	8	16	0.000133	2	4	0.0584	0.025	full	200	0.368	0.7254	0.0273	0.8245535063743591	19.6	4635.8	completed				0.0
152	random	6	8	8	7.1e-05	2	4	0.0105	0.0865	full	200	0.34	0.6639	0.0312	0.9360290575027466	18.6	5233.8	completed				0.0
153	random	7	4	8	2.4e-05	1	16	0.0265	0.0464	minimal	200	0.328	0.6434	0.0273	2.1912219429016115	29.0	5192.1	completed				0.0
154	random	6	4	4	0.000341	4	4	0.0197	0.0743	minimal	200	0.36	0.709	0.0273	0.9561216688156128	17.0	5794.2	completed				0.0
155	random	7	4	4	2.4e-05	2	4	0.0556	0.027	full	200	0.324	0.6393	0.0234	1.6530392503738403	18.3	5800.8	completed				0.0
157	random	7	16	16	4.9e-05	2	8	0.0061	0.0598	medium	200	0.326	0.6475	0.0195	1.1197613525390624	22.4	6420.4	completed				0.0
156	random	6	4	16	1.2e-05	4	16	0.0799	0.0514	medium	200	0.332	0.6475	0.0312	1.949632773399353	40.7	6489.5	completed				0.0
158	random	7	4	16	3.3e-05	1	4	0.0285	0.0595	medium	200	0.332	0.6475	0.0312	1.3907454681396485	15.6	6967.4	completed				0.0
159	random	6	32	64	1.9e-05	4	8	0.0789	0.0137	medium	200	0.34	0.668	0.0273	1.1604039239883424	25.4	7093.6	completed				0.0
161	random	6	64	128	0.00024	1	4	0.0568	0.0409	medium	200	0.386	0.7295	0.0586	0.7779765176773071	15.8	7665.9	completed				0.0
160	random	7	16	16	1.2e-05	2	16	0.0189	0.0854	minimal	200	0.328	0.6393	0.0312	2.417754259109497	31.7	7632.1	completed				0.0
163	random	7	4	16	0.000353	4	4	0.0894	0.0125	minimal	200	0.386	0.7418	0.0469	0.8826056385040283	17.3	8186.2	completed				0.0
162	random	6	32	32	0.000276	1	8	0.0549	0.0142	medium	200	0.378	0.7213	0.0508	0.7942959070205688	20.9	8239.5	completed				0.0
164	random	7	64	256	4.5e-05	1	8	0.0969	0.0652	medium	200	0.394	0.7541	0.0508	0.829140796661377	21.1	8869.4	completed				0.0
165	random	6	16	16	0.000295	4	8	0.0505	0.0142	minimal	200	0.394	0.7336	0.0703	0.8874636387825012	24.2	8832.2	completed				0.0
166	random	7	8	32	0.000159	1	8	0.0935	0.0337	medium	200	0.38	0.7172	0.0586	0.8752600073814392	21.0	9380.2	completed				0.0
167	random	6	8	32	3.7e-05	4	8	0.0013	0.0465	medium	200	0.34	0.6762	0.0195	1.009182665348053	25.7	9430.3	completed				0.0
169	random	6	64	256	4.7e-05	1	4	0.0096	0.0233	medium	200	0.396	0.7418	0.0664	0.7880053567886353	15.9	10057.9	completed				0.0
168	random	7	16	64	1.4e-05	1	16	0.092	0.0419	full	200	0.356	0.6885	0.0391	0.9970585155487061	37.4	10099.8	completed				0.0
170	random	6	8	8	1.9e-05	1	4	0.0584	0.0274	medium	200	0.332	0.6475	0.0312	1.9832299995422362	15.7	10568.7	completed				0.0
